,Year,Week,State,TotalCases,Duration,Mature,Rain,Temp,API
94,2012,10,WPKL,6,38.0,1.0,0.5714285714285714,29.571428571428573,45.523809523809526
95,2012,11,Selangor,12,37.5,0.8571428571428571,0.5714285714285714,29.0,42.72380952380952
96,2012,11,WPKL,9,45.0,0.8571428571428571,0.5714285714285714,29.0,39.892857142857146
97,2012,12,WPKL,22,43.5,0.5714285714285714,0.42857142857142855,30.0,52.0
98,2012,13,WPKL,16,59.0,0.5714285714285714,0.8571428571428571,28.571428571428573,41.80952380952381
99,2012,14,Selangor,10,31.0,0.42857142857142855,1.0,29.142857142857142,47.19047619047619
100,2012,14,WPKL,4,32.0,0.42857142857142855,1.0,29.142857142857142,46.416666666666664
101,2012,15,Selangor,10,38.0,0.8571428571428571,0.8571428571428571,29.428571428571427,46.25714285714286
102,2012,17,WPKL,28,32.0,0.8571428571428571,0.2857142857142857,30.428571428571427,38.86904761904762
103,2012,18,Selangor,8,33.0,0.8571428571428571,0.5714285714285714,29.571428571428573,43.58095238095238
104,2012,18,WPKL,29,39.0,0.8571428571428571,0.5714285714285714,29.571428571428573,39.69047619047619
105,2012,19,WPKL,28,41.5,0.2857142857142857,0.7142857142857143,29.857142857142858,44.92857142857143
106,2012,20,WPKL,19,38.5,0.5714285714285714,0.5714285714285714,30.285714285714285,38.404761904761905
107,2012,21,WPKL,5,31.0,0.7142857142857143,0.7142857142857143,29.0,44.54761904761905
108,2012,24,Terengganu,7,33.0,0.8571428571428571,0.14285714285714285,29.285714285714285,55.523809523809526
109,2012,41,Sarawak,5,31.0,0.2857142857142857,1.0,27.142857142857142,37.352380952380955
110,2012,42,Sarawak,10,33.0,0.5714285714285714,0.8571428571428571,27.285714285714285,32.72857142857143
111,2012,43,Sarawak,10,40.0,1.0,0.8571428571428571,27.428571428571427,32.180952380952384
112,2012,45,Sarawak,7,31.0,0.8571428571428571,0.7142857142857143,27.142857142857142,35.371428571428574
113,2012,45,WPKL,5,31.0,0.5714285714285714,0.8571428571428571,28.285714285714285,43.88095238095238
114,2012,46,Sarawak,7,38.0,1.0,0.8571428571428571,27.285714285714285,30.6
115,2012,47,WPKL,4,32.0,0.8571428571428571,1.0,28.428571428571427,38.20238095238095
116,2012,48,WPKL,4,39.0,0.8571428571428571,1.0,28.714285714285715,35.20238095238095
117,2013,10,Sarawak,11,32.0,0.8571428571428571,0.42857142857142855,28.0,34.62095238095238
118,2013,25,Selangor,26,36.5,0.7142857142857143,0.0,30.285714285714285,88.00952380952381
119,2013,26,Selangor,28,42.5,0.0,0.2857142857142857,29.428571428571427,113.95403726708075
120,2013,27,Selangor,44,40.25,0.0,0.2857142857142857,28.714285714285715,47.166666666666664
121,2013,28,Selangor,31,48.5,0.2857142857142857,0.5714285714285714,28.285714285714285,36.36265060240964
122,2013,29,Johor,129,9.791666666666666,0.7142857142857143,0.7142857142857143,28.0,43.29216867469879
123,2013,29,Melaka,4,10.0,0.7142857142857143,0.42857142857142855,27.285714285714285,67.49698795180723
124,2013,29,NSembilan,10,10.0,0.42857142857142855,0.42857142857142855,28.0,55.51204819277108
125,2013,29,Penang,12,11.0,0.5714285714285714,0.14285714285714285,27.857142857142858,51.31927710843374
126,2013,29,Perlis,2,9.0,0.7142857142857143,0.2857142857142857,28.142857142857142,49.48192771084337
127,2013,29,Sarawak,4,11.5,1.0,0.5714285714285714,27.0,33.74277108433735
128,2013,29,Selangor,315,12.28048780487805,0.2857142857142857,0.2857142857142857,28.857142857142858,52.02289156626506
129,2013,29,WPKL,44,11.125,0.2857142857142857,0.2857142857142857,28.857142857142858,44.76355421686747
130,2013,30,Selangor,89,40.8,0.5714285714285714,0.14285714285714285,28.571428571428573,68.49642857142857
131,2013,31,NSembilan,8,30.0,0.42857142857142855,0.5714285714285714,28.857142857142858,59.70238095238095
132,2013,31,Penang,8,30.0,0.14285714285714285,0.42857142857142855,28.142857142857142,52.88492063492063
133,2013,31,Selangor,95,47.666666666666664,0.2857142857142857,0.2857142857142857,29.571428571428573,63.319047619047616
134,2013,32,Penang,8,38.0,0.14285714285714285,0.7142857142857143,27.857142857142858,40.939153439153436
135,2013,32,Selangor,119,46.6,0.14285714285714285,0.42857142857142855,29.142857142857142,39.18730158730159
136,2013,33,Selangor,160,41.333333333333336,0.2857142857142857,0.5714285714285714,29.0,48.43952095808383
137,2013,34,Selangor,188,48.333333333333336,0.42857142857142855,0.5714285714285714,27.857142857142858,47.51829268292683
138,2013,35,Selangor,233,50.0,0.5714285714285714,0.7142857142857143,28.285714285714285,60.11506849315069
139,2013,36,Johor,12,33.0,0.7142857142857143,1.0,26.571428571428573,35.92741935483871
140,2013,36,Selangor,306,47.86666666666667,0.5714285714285714,0.8571428571428571,27.571428571428573,47.26774193548387
141,2013,37,Selangor,328,52.0,0.7142857142857143,0.7142857142857143,27.571428571428573,40.35925925925926
